,processed_problem,processed_action
0,engine idle override killed engine,tried to adjust idle several times wouldnt adjust
1,engine idle override killed engine,removed replaced fuel servo
2,engine idle override killed engine,a/c was run up set idle speed mixture ok no leaks no
3,had engine choke briefly lose power on departure full thr,performed engine run up found cylinder 2 lower plug fouled
4,2 4 cylinder rocker cover gaskets leaking,removed replaced gaskets
5,rocker box cover screws loose all cylinder,tightened screws
6,induction tube hose clamps loose all cylinder,tightened hose clamps
7,3 intake leaking,removed replaced gasket
8,2 intake leaking,removed replaced 2 intake gasket
9,4 rocker cover leaking,removed replaced 4 rocker cover gasket
10,holding short of runway after completion of run up engine,performed engine run up adjusted idle cleaned spark
11,l/h rear engine baffle cracked,stop drilled crack
12,induction tube hose clamps loose all cylinders,tightened hose clamps
13,1 2 3 rocker box cover gaskets leaking,installed new rocker box cover gaskets
14,2 rocker cover gasket leaking,removed replaced 2 rocker cover gasket
15,1 3 rocker cover gasket leaking,removed replaced 1 3 rocker cover gasket
16,rocker box cover screws loose,tightened screws
17,1 engine baffle cracked,fabricated patch of like material riveted iaw
18,1 intake gasket leaking,replaced w/ new gasket
19,rocker cover for cylinder 1 leaking,replaced rocker cover
20,cylinder 4 intake leaking,replaced gasket leak check good
21,2 4 cylinder rocker cover gaskets leaking,removed replaced rocker cover gaskets cleaned leaks
22,rocker box cover screws loose,tightened screws
23,induction tube hose clamps loose all cylinder,tightened hose clamps
24,1 intake gasket leaking,removed intake tube found tube to be cracked removed
25,induction tube hose clamps loose all cylinders,tightened hose clamps
26,r/h magnetos blast tube fell off,removed r/h aft baffle to facilitate repair fabricated
27,on start up engine began to run rough ran engine 1200 right pattern,inspected cylinder 1 2 4 iaw cked ok removed
28,on start up engine began to run rough ran engine 1200 right pattern,performed compression check cylinder 3 indicated zero psi
29,on start up engine began to run rough ran engine 1200 right pattern,completed baffle install oil filler tube spark plugs
30,4 rocker cover gasket leaking,replaced gasket
31,right engine 4 air baffle cracked,removed replaced 4 air baffle
32,r/h engine forward alternator attach bolt loose,secured alternator attach bolt resafetied
33,l/h engine 4 aft baffle cracked in multiple places,replaced baffle assembly
34,right engine all valve covers leaking,removed replaced all rocker gaskets
35,l/h engine all 4 rocker cover gaskets leaking,replaced all rocker cover gaskets
36,l/h engine 2 intake leaking,removed tube found to be cracked removed tube from cuttoff
37,in flight engine became rough discovered right magnetos inoperable e,ran a/c mags check good power leak check good
38,in flight engine became rough discovered right magnetos inoperable e,removed 3 cylinder disconnected fuel distributor line to g
39,in flight engine became rough discovered right magnetos inoperable e,reassembled engine 3 cylinder dry tappet clearance check g
40,4 intake leaking,removed replaced 4 intake gasket
41,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
42,top l/h baffle has a crack,stop drilled crack
43,oil dipstick oil stick loose,removed replaced dipstick
44,3 brake missing screw,replaced screw
45,baffle seals on r/h side torn,applied silicone to torn areas
46,2 4 rocker covers leaking,removed replaced 2 4 rocker cover gaskets
47,3 aft baffle bracket loose,removed replaced missing rivets w/ screws nuts
48,4 cylinder rocker cover leaking,removed replaced gasket
49,1 2 6 cowl mounts torn,removed replaced mounts
50,4 intake leaking,removed replaced gasket
51,2 4 rocker covers leaking,removed replaced gaskets
52,4 intake leaking,replaced gasket inspected intake tube
53,during idle check on run up engine quit restart engine,adjusted idle setting idle indicating 650 rpm during r
54,l/h baffle plug worn,removed replaced plug
55,1 rocker cover leaking,removed replaced gasket
56,l/h engine 2 4 side baffle seals loose,secured seals
57,r/h engine 3 aft baffle seal loose,secured baffle seal
58,3 rocker cover gasket torn,removed replaced 3 rocker cover gasket
59,4 rocker cover gasket torn,removed replaced 4 rocker cover gasket
60,1 rocker cover gasket leaking,removed replaced rocker cover w/ new
61,during ground run pilot noticed high oil press engine,adjusted engine oil press relief valve
62,during ground run pilot noticed high oil press engine,a/c was ground ran to full pwr oil press checked ok
63,student couldnt start a/c,started a/c for student
64,vacuum tube oil cooler line rubbing together,moved adel clamp applied 2 zip ties no defects noted
65,after landing a/c idle 970 rpm,adjusted idle setting by lowering idle setting w/in ma
66,fuel press 32 33 w/ jumps into red,cleaned transducer ground path fuel press checked good
67,r/h engine 2 intake leaks,replaced gasket
68,l/h engine 4 cylinder baffle cracked,stop drilled crack
69,r/h engine 4 cylinder baffle cracked,stop drilled crack
70,last daily shut down idle over ride speed check engine rpm,ran a/c adjusted idle speed checks good
71,2 4 side baffle brace broken,fabricated brace from like material installed
72,4 cylinder intake gasket leaking,removed replaced gasket
73,4 rocker box cover gasket leaking,removed replaced rocker cover gasket
74,baffle plug hole worn,installed patch new plug
75,engine started running rough vibrating a lot,ran a/c operational safety section leak check good
76,engine started running rough vibrating a lot,ran a/c confirmed discrepancy found 3 cylinder had very l
77,engine started running rough vibrating a lot,completed reassembly of 3 cylinder assembly installed new inta
78,engine started running rough vibrating a lot,removed 3 cylinder installed serviceable cylinder assembly torqued
79,engine started running rough vibrating a lot,disassembled 1 2 4 exhaust valves reamed guides iaw
80,2 intake leaks,replaced gasket
81,4 intake leaks,replaced gasket
82,3 intake tube gasket leaking,replaced gasket
83,3 4 rocker cover gaskets leaking,replaced gaskets
84,engine would not start,started engine leaned mixture to clean spark plugs ma
85,2 intake leaking,removed replaced 2 intake gasket
86,top front r/h baffle baffle seal rivet pulled through,drilled out rivet installed screw nut to attach r/h
87,rocker box cover screws loose,tightened screws
88,2 induction tube gasket leaking,removed replaced 2 induction tube gasket
89,2 4 rocker covers leaking,removed replaced gaskets
90,1 intake leaking,removed replaced 1 intake gasket w/ new
91,3 4 rocker covers leaking,removed replaced 3 4 rocker cover gaskets w/ new
92,1 rocker cover leaking,removed replaced rocker cover gasket
93,l/h engine 4 cylinder intake gasket leaking,removed replaced 4 intake gasket w/ new
94,rocker box cover screws loose,tightened screws
95,4 rocker cover leaking,removed replaced 4 rocker cover gasket
96,2 oil return line hose clamp loose,tightened hose clamp
97,rough running engine on start engine ran smoother as it war,finished reaming all 4 exhaust valve guides installed
98,rough running engine on start engine ran smoother as it war,removed cowling removed all spark plugs reamed 3 exhaust
99,3 rocker cover leaking,removed replaced gasket
100,oil found on entire right side of fuselage,removed cowling cleaned engine performed engine run u
101,r/h engine 4 cylinder baffle bolt missing,installed new bolt
102,r/h engine 1 4 rocker covers leaking,removed replaced r/h rocker cover gaskets 1 4
103,l/h engine 1 3 rocker covers leaking,removed replaced l/h engine rocker cover gaskets 1
104,engine died during magnetos check,started a/c using flooded start procedure ran a/c to
105,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
106,2 4 rocker cover gasket leaking,removed replaced 2 4 rocker cover gaskets
107,2 4 cylinder oil return line clamps loose,tightened clamps
108,r/h engine 2 intake gasket leaking,removed replaced gasket
109,baffle seals under both prop governors loose,resecured baffle seals
110,l/h engine 4 aft baffle cracked in multiple places,installed repaired baffling
111,l/h engine 4 aft baffle cracked in multiple places,removed baffle swapped accessories
112,2 intake leaking,removed replaced intake gasket
113,1 l/h intake has large gouge,removed replaced 1 l/h intake pipe w/ serviceable pi
114,l/h engine 3 rocker cover leaking,removed replaced l/h engine 3 rocker cover gasket
115,2 cylinder has low compression,removed rocker cover staked intake valve passed compressor
116,4 rocker cover leaking,replaced gasket
